COMPOSITION_\RESOURCE_	COAL	OIL	METHANE	HYDROGEN	IRON_ORES	INDUSTRIAL_METAL_ORES	PRECIOUS_METAL_ORES	RARE_EARTH_ORES	FISSILE_FUEL_ORES	HELIUM3_REGOLITH	INDUSTRIAL_MINERALS	THOLINS	STONE	WATER	OXYGEN	NITROGEN	CARBON_DIOXIDE	CARBON_MONOXIDE	ETHANE	AMMONIA	SULFER_DIOXIDE	HELIUM	ARGON_NEON	KRYPTON_XENON
CLASS_C_ASTEROID_STRATUM_UNDIFFERENTIATED					0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2
CLASS_S_ASTEROID_STRATUM_UNDIFFERENTIATED					0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2
CLASS_M_ASTEROID_STRATUM_UNDIFFERENTIATED					0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2
PLANET_EARTH_STRATUM_OCEAN_FLOOR					1.5	1.5	1.5	1.5	1.5	1.5	1.5		1.5	1	1	1	1	1	1	1	1	1	1	1
PLANET_EARTH_STRATUM_OCEAN_CRUST					1.5	1.5	1.5	1.5	1.5	1.5	1.5		1.5	1	1	1	1	1	1	1	1	1	1	1
PLANET_EARTH_STRATUM_CONT_SURFACE_POLITY_USA	2	4	2		1.5	1.5	1.5	1.5	1.5	1.5	1.5		1.5	1	1	1	1	1	1	1	1	1	1	1
PLANET_EARTH_STRATUM_CONT_SURFACE_POLITY_RUSSIA	2	4	2		1.5	1.5	1.5	1.5	1.5	1.5	1.5		1.5	1	1	1	1	1	1	1	1	1	1	1
PLANET_EARTH_STRATUM_CONT_SURFACE_POLITY_CHINA	2	4	2		1.5	1.5	1.5	1.5	1.5	1.5	1.5		1.5	1	1	1	1	1	1	1	1	1	1	1
PLANET_EARTH_STRATUM_CONT_SURFACE_POLITY_EU	2	4	2		1.5	1.5	1.5	1.5	1.5	1.5	1.5		1.5	1	1	1	1	1	1	1	1	1	1	1
PLANET_EARTH_STRATUM_CONT_SURFACE_POLITY_INDIA	2	4	2		1.5	1.5	1.5	1.5	1.5	1.5	1.5		1.5	1	1	1	1	1	1	1	1	1	1	1
PLANET_EARTH_STRATUM_CONT_SURFACE_POLITY_JAPAN	2	4	2		1.5	1.5	1.5	1.5	1.5	1.5	1.5		1.5	1	1	1	1	1	1	1	1	1	1	1
PLANET_EARTH_STRATUM_CONT_SURFACE_POLITY_OTHER	2	4	2		1.5	1.5	1.5	1.5	1.5	1.5	1.5		1.5	1	1	1	1	1	1	1	1	1	1	1
PLANET_EARTH_STRATUM_CONT_SURFACE_ANTARCTICA	2	4	2		1.5	1.5	1.5	1.5	1.5	1.5	1.5		1.5	1	1	1	1	1	1	1	1	1	1	1
PLANET_EARTH_STRATUM_CONT_SUBSURF_POLITY_USA	2	4	2		1.5	1.5	1.5	1.5	1.5	1.5	1.5		1.5	1	1	1	1	1	1	1	1	1	1	1
PLANET_EARTH_STRATUM_CONT_SUBSURF_POLITY_RUSSIA	2	4	2		1.5	1.5	1.5	1.5	1.5	1.5	1.5		1.5	1	1	1	1	1	1	1	1	1	1	1
PLANET_EARTH_STRATUM_CONT_SUBSURF_POLITY_CHINA	2	4	2		1.5	1.5	1.5	1.5	1.5	1.5	1.5		1.5	1	1	1	1	1	1	1	1	1	1	1
PLANET_EARTH_STRATUM_CONT_SUBSURF_POLITY_EU	2	4	2		1.5	1.5	1.5	1.5	1.5	1.5	1.5		1.5	1	1	1	1	1	1	1	1	1	1	1
PLANET_EARTH_STRATUM_CONT_SUBSURF_POLITY_INDIA	2	4	2		1.5	1.5	1.5	1.5	1.5	1.5	1.5		1.5	1	1	1	1	1	1	1	1	1	1	1
PLANET_EARTH_STRATUM_CONT_SUBSURF_POLITY_JAPAN	2	4	2		1.5	1.5	1.5	1.5	1.5	1.5	1.5		1.5	1	1	1	1	1	1	1	1	1	1	1
PLANET_EARTH_STRATUM_CONT_SUBSURF_POLITY_OTHER	2	4	2		1.5	1.5	1.5	1.5	1.5	1.5	1.5		1.5	1	1	1	1	1	1	1	1	1	1	1
PLANET_EARTH_STRATUM_CONT_SUBSURF_ANTARCTICA	2	4	2		1.5	1.5	1.5	1.5	1.5	1.5	1.5		1.5	1	1	1	1	1	1	1	1	1	1	1
PLANET_EARTH_STRATUM_CONT_4KM_8KM_POLITY_USA	2	4	2		1.5	1.5	1.5	1.5	1.5	1.5	1.5		1.5	1	1	1	1	1	1	1	1	1	1	1
PLANET_EARTH_STRATUM_CONT_4KM_8KM_POLITY_RUSSIA	2	4	2		1.5	1.5	1.5	1.5	1.5	1.5	1.5		1.5	1	1	1	1	1	1	1	1	1	1	1
PLANET_EARTH_STRATUM_CONT_4KM_8KM_POLITY_CHINA	2	4	2		1.5	1.5	1.5	1.5	1.5	1.5	1.5		1.5	1	1	1	1	1	1	1	1	1	1	1
PLANET_EARTH_STRATUM_CONT_4KM_8KM_POLITY_EU	2	4	2		1.5	1.5	1.5	1.5	1.5	1.5	1.5		1.5	1	1	1	1	1	1	1	1	1	1	1
PLANET_EARTH_STRATUM_CONT_4KM_8KM_POLITY_INDIA	2	4	2		1.5	1.5	1.5	1.5	1.5	1.5	1.5		1.5	1	1	1	1	1	1	1	1	1	1	1
PLANET_EARTH_STRATUM_CONT_4KM_8KM_POLITY_JAPAN	2	4	2		1.5	1.5	1.5	1.5	1.5	1.5	1.5		1.5	1	1	1	1	1	1	1	1	1	1	1
PLANET_EARTH_STRATUM_CONT_4KM_8KM_POLITY_OTHER	2	4	2		1.5	1.5	1.5	1.5	1.5	1.5	1.5		1.5	1	1	1	1	1	1	1	1	1	1	1
PLANET_EARTH_STRATUM_CONT_4KM_8KM_ANTARCTICA	2	4	2		1.5	1.5	1.5	1.5	1.5	1.5	1.5		1.5	1	1	1	1	1	1	1	1	1	1	1
PLANET_EARTH_STRATUM_CONT_8KM_28KM	2	4	2		1.5	1.5	1.5	1.5	1.5	1.5	1.5		1.5	1	1	1	1	1	1	1	1	1	1	1
PLANET_EARTH_STRATUM_LOWER_CONT_CRUST	2	4	2		1.5	1.5	1.5	1.5	1.5	1.5	1.5		1.5	1	1	1	1	1	1	1	1	1	1	1
MOON_MOON_STRATUM_REGOLITH					1.5	1.5	1.5	1.5	1.5	1.5	1.5		1.5	1	1	1	1	1	1	1	1	1	1	1
MOON_MOON_STRATUM_POLAR_SHADED_REGOLITH					1.5	1.5	1.5	1.5	1.5	1.5	1.5		1.5	4	1	1	1	1	1	1	1	1	1	1
MOON_MOON_STRATUM_CRUST					1.5	1.5	1.5	1.5	1.5	1.5	1.5		1.5	1	1	1	1	1	1	1	1	1	1	1
PLANET_MARS_STRATUM_SURFACE					1.5	1.5	1.5	1.5	1.5	1.5	1.5		1.5	1	1	1	1	1	1	1	1	1	1	1
PLANET_MARS_STRATUM_CRUST					1.5	1.5	1.5	1.5	1.5	1.5	1.5		1.5	1	1	1	1	1	1	1	1	1	1	1
MOON_PHOBOS_STRATUM_UNDIFFERENTIATED					0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2
MOON_DEIMOS_STRATUM_UNDIFFERENTIATED					0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2
PLANET_CERES_STRATUM_UPPER_CRUST					0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8
PLANET_CERES_STRATUM_LOWER_CRUST_INTER_LAYER					0.6	0.6	0.6	0.6	0.6	0.6	0.6		0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6
PLANET_CERES_STRATUM_MANTLE					0.2	0.2	0.2	0.2	0.2	0.2	0.2		0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2
@ENUM_X_ENUM																								
@DATA_TYPE=FLOAT																								
@DATA_DEFAULT=0																								
# game start values																								
# coeff of variation of mass (not %)																								
# columns RESOURCE_ (is_extraction subset)																								
# 0 for atmos, oceans, cores, low gr conglomerate																								